index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
128,CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,active
131,CHEMBL308133,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,1500000.0,inactive
132,CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,160000.0,inactive
133,CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180.0,active
134,CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,450.0,active
137,CHEMBL133023,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,24.0,active
138,CHEMBL310400,N#CC(C#N)=Cc1cccc(O)c1,375000.0,inactive
139,CHEMBL136674,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,71.0,active
140,CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,25000.0,inactive
141,CHEMBL79064,N#CC(C#N)=C(O)c1ccc(O)cc1,230000.0,inactive
142,CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,500.0,active
143,CHEMBL75718,N#C/C=C/c1ccc(O)cc1,2400000.0,inactive
144,CHEMBL77298,COc1cc(C=C(C#N)C#N)cc(Br)c1O,153000.0,inactive
145,CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,8880.0,intermediate
146,CHEMBL420609,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,inactive
147,CHEMBL419682,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,100000.0,inactive
148,CHEMBL322395,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,3000.0,intermediate
149,CHEMBL88462,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,inactive
150,CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,56500.0,inactive
151,CHEMBL91250,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,inactive
152,CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,100000.0,inactive
153,CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,100000.0,inactive
154,CHEMBL328029,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,inactive
155,CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,100000.0,inactive
156,CHEMBL88483,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,100000.0,inactive
157,CHEMBL313746,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,inactive
158,CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,100000.0,inactive
159,CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,100000.0,inactive
160,CHEMBL313500,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,100000.0,inactive
161,CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,inactive
162,CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,29100.0,inactive
163,CHEMBL315753,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,100000.0,inactive
164,CHEMBL88606,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,inactive
165,CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,inactive
166,CHEMBL266969,O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,50000.0,inactive
167,CHEMBL138691,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,active
170,CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,active
171,CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.0,active
172,CHEMBL8000,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,100000.0,inactive
174,CHEMBL139307,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.3,active
177,CHEMBL322298,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,200.0,active
178,CHEMBL111434,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,670.0,active
179,CHEMBL111197,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,30.0,active
180,CHEMBL291667,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(Cl)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(Cl)c21,100000.0,inactive
181,CHEMBL8091,COC(=O)c1cc(Nc2ccc(F)cc2)c(Nc2ccc(F)cc2)cc1C(=O)OC,100000.0,inactive
182,CHEMBL136058,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,0.81,active
185,CHEMBL113128,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21,50000.0,inactive
187,CHEMBL51854,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,3.8,active
188,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,515.0,active
189,CHEMBL95320,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,850.0,active
190,CHEMBL8271,O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,100000.0,inactive
192,CHEMBL298931,Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,17.0,active
193,CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,6500.0,intermediate
194,CHEMBL334334,COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,9000.0,intermediate
195,CHEMBL316764,O=C(O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,100000.0,inactive
196,CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,1.5,active
199,CHEMBL111365,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,1300.0,intermediate
201,CHEMBL52591,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,4.3,active
202,CHEMBL64459,Cc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(C)cc4n3C)n(C)c2c1,100000.0,inactive
203,CHEMBL129989,COC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1OC,100000.0,inactive
204,CHEMBL132907,COC(=O)c1cc(NCc2ccccc2O)ccc1O,20000.0,inactive
205,CHEMBL268368,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,100000.0,inactive
206,CHEMBL422292,CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.5,active
209,CHEMBL110034,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21,5000.0,intermediate
210,CHEMBL113023,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,250.0,active
211,CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,2.9,active
212,CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,10000.0,inactive
213,CHEMBL106232,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,4500.0,intermediate
214,CHEMBL327127,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,90.0,active
215,CHEMBL294475,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,0.81,active
217,CHEMBL266487,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,50000.0,inactive
218,CHEMBL293261,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,850.0,active
221,CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,13.0,active
222,CHEMBL267019,O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,2500.0,intermediate
